法人番号,空欄,空欄,空欄,サービスの名称（最大40文字）,サブタイトル（最大40文字）,サービスの対象者,サービスの対象分野,都道府県（全国サービスの場合はチェックなし）,対象地域群,空欄,空欄,空欄,サービス概要（最大200文字）,,空欄,開始日,終了日,サービス期間に関して自由に記入してください。（最大２０文字）,空欄,詳細情報URL,企業名等,空欄,空欄,サービス対象の業種（標準産業分類）,［事業者向けサービス］支援対象事業ステージ,［事業者向けサービス］サービス分類,［事業者向けサービス］「お困りごと」,［個人向けサービス］ライフステージ,［個人向けサービス］サービス分類,［個人向けサービス］お困りごと,災害名,キーワード,空欄,空欄,空欄,情報更新日,空欄,空欄,空欄,サービス費用,サービス詳細分類,［教育用サービスの場合］教育用サービス内容,主な所属団体名,記入者の連絡先（メールアドレス）・・非公開,本情報は、業界団体などを通じて各企業が登録した情報であり、情報の内容、情報活用等により生じた一切の責任を政府は負いません。情報源を確認するなどして、利用者の判断で活用してください。
,,,,休校中の子供たちにぜひ見て欲しい！科学技術の面白デジタルコンテンツ,,,教育、学習支援,,,,,,"休校中の子供たちにぜひ見て欲しい！科学技術の面白デジタルコンテンツ（科学技術広報研究会）
家庭で長い時間を過ごす子供達のために、全国の大学・研究機関の広報担当者有志（科学技術広報研究会《JACST》）が、自身が所属する研究機関のデジタルコンテンツの中から子供たちにぜひ見て欲しいと思う作品を集めたサイトを開設しました。",,,,,,,https://sites.google.com/view/jacst-for-kids/,科学技術広報研究会,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-03,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,ウェブ会議システムCisco Webex Meetings,,企業等,ワークスタイル（テレワーク含む）,,,,,,テレワークで活用できるWeb会議システム「LiveOn」・リモートアクセスツール「RemoteOn」の導入支援・サポート,,,2020/2/25,,,,http://www.cisco.com/jp/go/webex90days,シスコシステムズ,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-02-25,,,,無料,ビデオ会議,,（一社）日本テレワーク協会,,
,,,,ヘッドセット/スピーカーフォン,,企業等,ワークスタイル（テレワーク含む）,,,,,,テレワークに必要なヘッドセット/スピーカーフォンの無料トライアル実施中。100台以上のご購入を検討されているユーザー様に最大5台を無償でプレゼント。製品選定もサポート,,,2020/2/1,,,,https://www.jabra.jp/c/jp/wfh,GNオーディジャパン/ Jabra,,,,,現物支給・貸与,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-02-01,,,,割引,遠隔作業環境,,（一社）日本テレワーク協会,,
,,,,テレワークリモートワーク環境,,企業等,ワークスタイル（テレワーク含む）,,,,,,VPN不要でセキュアなテレワークリモートワーク環境を最短5日で利用可能に。VPNやサーバ環境、専用端末が不要でセキュアなテレワーク環境を短期間で整備できるSoliton SecureDesktop（SSD）を提供しております。,,,,,,,https://www.axio.co.jp/lp/ssd/,アクシオ,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,無料,,,（一社）日本テレワーク協会,,
,,,,テレワークスタートガイド,,企業等,ワークスタイル（テレワーク含む）,,,,,,全社一斉テレワークのノウハウをまとめた「テレワークスタートガイド」を無償公開,,,2020/2/28,,,,https://www.lenovo.com/jp/ja/news/article/2020-02-28,レノボ・ジャパン,,,,,その他,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-02-28,,,,無料,,,（一社）日本テレワーク協会,,
,,,,クラウド化やデータを守る情報セキュリティのコツ,,企業等,ワークスタイル（テレワーク含む）,,,,,,企業が東京オリンピック・パラリンピック前にやっておくべきデジタル対策」 クラウド化やデータを守る情報セキュリティのコツなど、具体的な方策をまとめました。,,,2020/3/2,,,,https://www.dunksoft.com/news/2020/3/2,ダンクソフト,,,,,その他,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-02,,,,無料,,,（一社）日本テレワーク協会,,
,,,,テレワーク導入支援・運用サポート,,企業等,ワークスタイル（テレワーク含む）,,,,,,コンタクトセンターにおけるテレワーク導入支援・運用サポート,,,2020/3/3,,,,https://www.imacrea.co.jp/company/service-onstruction.html,イマクリエ,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-03,,,,無料,,,（一社）日本テレワーク協会,,
,,,,UDトーク,,"教育機関, 行政機関",教育、学習支援,,,,,,官公庁、地方自治体及び教育機関で使用できるライセンスを１年間（更新可能）で無償提供します。,,,2020/3/1,,,,https://udtalk.jp/post-3782/,Shamrock Records株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,コミュニケーション支援ツール,,,,,,,,無料,コミュニケーション支援,,CFJ,,
,,,,クラウド修正依頼ツール『AUN(アウン)』,,企業等,ワークスタイル（テレワーク含む）,,,,,,"この度、新型コロナウイルスの感染拡大対策としてテレワークを推進するために
無料版AUNの保存期間を、従来の7日より30日間へ拡大して提供させていただく事にしました。
みなさまの在宅勤務・遠隔勤務の一助になれば幸いです。 ",,,2020/3/2,,"利用開始から30日
一ヶ月程度",,https://aun.tools/media/?p=3307,株式会社フォノグラム,,,,,サービス提供,,,,,新型コロナウイルス感染症,修正依頼ツール,,,,2020-03-02,,,,無料,遠隔作業環境,,CFJ,,
,,,,moreNOTE【新型コロナウィルス対策版】,,,ワークスタイル（テレワーク含む）,,,,,,moreNOTEを新型コロナウイルス対策の業務支援ツールとして、テレワークや在宅勤務、遠隔会議の実施を必要としている企業に無償提供いたします。テレワーク時の遠隔会議や資料共有など、少しでも皆様の業務にお役立て頂ければ幸いです。,,,,,3か月,,https://www.morenote.jp/archives/1545/,3か月,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,業務支援ツール,,,,2020-02-27,,,,無料,,,CFJ,,
,,,,業務相談、講演等の無償提供,,企業への提供、自治体への提供、公的機関への提供、一般,ワークスタイル（テレワーク含む）,,,,,,テレワークについてのコンサルタントを無償提供,,,2020/2/1,未定,未定,,http://www.s-nakahara.com/rtmri/,株式会社 地域・技術経営総合研究所,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-02-01,,,,無料,,,テレワーク・デイズ登録企業,,
,,,,ビジネスルームの使用,,企業等,ワークスタイル（テレワーク含む）,,,,,,宿泊施設とビジネスルームの共有利用,,,,,,,https://www.keyterrace.co.jp/,(株)白浜館,,,,,その他,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,無料,,,テレワーク・デイズ登録企業,,
,,,,PCAクラウド,,企業等,ワークスタイル（テレワーク含む）,,,,,,テレワークを導入する企業に対し、クラウド型基幹業務システム（会計・給与・販売管理など）を提供。体験利用はコロナ対策支援として、通常60日間を90日間に延長。体験申込者向け無償電話サポートサービスも提供。,,,,コロナ終息を目途,体験申込後、90日間,,https://pca.jp/area_top/20200302.html,ピー・シー・エー株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-02,,,,無料,,,テレワーク・デイズ登録企業,,
,,,,Office 365 E1トライアル,,企業等,ワークスタイル（テレワーク含む）,,,,,,トライアルとなっておりますが、Office 365のトライアルは有償版と全く同じ内容が提供されています。Teamsを含むOffice 365 E1の全機能をお使い頂けます。,,,2020/3/5,,6か月間,,https://transform.microsoft.com/customer-trials?tab=o365e1trial,日本マイクロソフト株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-05,,,,無料,,,（一社）全国地域情報化推進協会（APPLIC),,
,,,,Cisco Webex Meetings 90日間無償支援プログラムのお知らせ,,企業等,ワークスタイル（テレワーク含む）,,,,,,Cisco Webex Meetings（ウェブ会議システム）を90日間にわたってユーザー数無制限で利用いただける無償支援プログラム,,,2020/2/25,未定,,,https://www.cisco.com/c/m/ja_jp/solutions/collaboration/webex90days.html?dtid=odicdc000136,シスコシステムズ合同会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-02-21,,,,無料,ビデオ会議,,テレワーク・デイズ登録企業,,
,,,,Netop Remote Control（ネトップ リモート コントロール）,,"個人, 企業等",ワークスタイル（テレワーク含む）,,,,,,"スリーワンシステムズ株式会社では、在宅勤務やテレワーク環境をインターネット経由で実現できる「Netop Remote Control」を30日間無償で提供しています。 
新型コロナウイルスの感染拡大の防止のために、よろしければお役立てください。",,,,,30日間,,https://its.tos.co.jp/topics/rcwcfree,スリーワンシステムズ株式会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-02,,,,無料,,,テレワーク・デイズ登録企業,,
,,,,テレワーク支援（WEB会議システムの無償提供）,,企業等,ワークスタイル（テレワーク含む）,,,,,,"利用にあたっての
・アカウント発行
・接続方法、操作マニュアルのご提供",,,提供済み,未定,利用開始してから31日間,,https://wakusuma.com/news/telework202003.html,WORK SMILE LABO,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,無料,ビデオ会議,,,,
,,,,クラウド修正依頼ツール『AUN(アウン)』,,企業等,ワークスタイル（テレワーク含む）,,,,,,遠隔での修正指示をスムーズに行えるツール『AUN』の無料保存期限を従来の7日より30日間に大幅拡大。ネットにつながったパソコンがあれば、誰でも簡単に利用できる。,,,2020/3/2,,,,https://aun.tools/,株式会社フォノグラム,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-02,,,,無料,遠隔作業環境,,（一社）全国地域情報産業団体連合会,,
,,,,働き方改革ソリューション（コラボレーションサービス）,,企業等,ワークスタイル（テレワーク含む）,,,,,,"「Microsoft Teams」でWeb会議、チャット、資料共有などのチームコラボレーションを提供致します。
サービスは開始から30日無料でご利用可能。導入に際してのご支援は有料となります。",,,-,-,開始から30日,,https://www.city.co.jp/solution/workstylereform/office365/,株式会社シティアスコム,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,割引,ビデオ会議,,地方版IoT推進ラボ事務局,,
,,,,テレワーク音声コミュニケーションツール Xchat（クロスチャット）,,企業等,ワークスタイル（テレワーク含む）,,,,,,"テレワーク音声コミュニケーションツール Xchat（クロスチャット）を無料で提供します。
Xchatは音声によるコミュニケーションを促進するツールです。
＜主な機能＞
登録したキーを押しながら話すだけで、、同じルームの人とすぐ話せる。
カレンダー連携による予定やパソコン使用状況が可視化され今話しかけていいか分かる。
自分の画面を他の人に見せることができ、全員のマウス共有により指差しで会話がきる。",,,2020/3/3,,,,"https://prtimes.jp/main/html/rd/p/000000011.000040457.html

https://cross-chat.app/",株式会社GOWiDE,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-03,,,,無料,コミュニケーション支援,,テレワーク・デイズ登録企業,,
,,,,テレワーク導入コンサルティング,,企業等,ワークスタイル（テレワーク含む）,,,,,,チャットやweb会議に不慣れな状態でテレワークを開始する方々を支援するため、テレワーク導入に関するコンサルティングを無償で行います,,,2020/3/3,,,,https://gowide-inc.consulting/,株式会社GOWiDE,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-03,,,,無料,ビデオ会議,,テレワーク・デイズ登録企業,,
,,,,InterSafe CATSテレワーク支援パック無料試用版,,企業等,ワークスタイル（テレワーク含む）,,,,,,WebフィルタリングサービスとWi-FiをVPNで暗号化するセキュリティWi-FIサービスを併用することで、インターネット利用とネットワーク利用両方を安全に保ちテレワーク環境を整備する。,,,,,利用開始から30日間,,https://www.alsi.co.jp/security/blog/article/1505/,アルプス システム インテグレーション株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,無料,遠隔作業環境,,テレワーク・デイズ登録企業,,
,,,,Wi-Fi Security for Business無料試用版,,企業等,ワークスタイル（テレワーク含む）,,,,,,ワンタッチでWi-Fi通信をVPNで暗号化するサービス。iPhone、iPad、Android、Windowsに対応。30日間試用版を提供。,,,,,利用開始から30日間,,https://www.alsi.co.jp/security/wsb/,アルプス システム インテグレーション株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,無料,遠隔作業環境,,テレワーク・デイズ登録企業,,
,,,,InterSafe GatewayConnection無料試用版,,企業等,ワークスタイル（テレワーク含む）,,,,,,iOS、Android、Chromebook、Windowsで使えるマルチデバイス対応のWebフィルタリングサービス。テレワーク時のインターネット利用、業務システム等へのアクセスを安全に保つ。,,,,,利用開始から30日間,,https://www.alsi.co.jp/security/isgc/,アルプス システム インテグレーション株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,無料,遠隔作業環境,,テレワーク・デイズ登録企業,,
,,,,InterSafe CATS無料試用版,,企業等,ワークスタイル（テレワーク含む）,,,,,,iOS、Android、Windowsに対応したセキュアブラウザでテレワーク時のインターネット利用、業務システム等へのアクセスを安全に保つ。,,,,,利用開始から30日間,,https://www.alsi.co.jp/security/iscats/,アルプス システム インテグレーション株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,無料,遠隔作業環境,,テレワーク・デイズ登録企業,,
,,,,InterSafe ILP無料試用版,,企業等,ワークスタイル（テレワーク含む）,,,,,,ファイル暗号化やデバイス・ネットワーク利用の制御により端末データを保護。テレワーク時の情報流出に備えたセキュリティ強化を実現。クラウド対応。,,,,,利用開始から30日間,,https://www.alsi.co.jp/security/ilp/,アルプス システム インテグレーション株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,無料,遠隔作業環境,,テレワーク・デイズ登録企業,,
,,,,アーテック家庭学習教材無料公開サイト,,"個人, 企業等, 教育機関","教育・学習支援, その他",,,,,,幼児から高校生を対象に、家庭学習に家庭学習に活用できるそろばん速習ソフトやブロックパズル、電子書籍などを無料公開。,,,2020/3/9,,終了時期未定,,https://www.artec-kk.co.jp/special/fp/,株式会社アーテック,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-10,,,,無料,オンライン授業,,（一社）超教育協会,,
,,,,テレワーク導入支援,,"個人, 企業等, 教育機関, 医療機関, 福祉施設",ワークスタイル（テレワーク含む）,,,,,,テレワークに必要なサービス・機器導入や規程の整備などを支援します。,,,2020/3/1,,終了時期未定,,https://intercloud.jp,株式会社インタークラウド,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-10,,,,割引,,,テレワーク・デイズ登録企業,,
,,,,コワーキングスペースBreath,,"個人, 企業等, 教育機関","教育・学習支援, ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,赤ちゃんから使えるコワーキングスペースBreath。利用中の託児あり、小中高生の自習室としての利用もOKな多世代型コワーキングです。三鷹駅北口徒歩5分。,,,2018/11/26,,終了時期未定,,https://office-breath.com/cw/,株式会社Office Breath,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-10,,,,その他,オフィスなどの空間,,テレワーク・デイズ登録企業,,
,,,,コワーキングスペース　小学生の居場所,,"個人, 企業等","教育・学習支援, ワークスタイル（テレワーク含む）, 宿泊、飲食サービス, コミュニケーション",,,,,,コワーキングスペースの提供。1日を通して集中してお仕事がではかどるスペース。ドリンク、ランチ、軽食提供。お子様連れでのお仕事利用が可能。また、小学生の居場所として、子どものみの利用も可能（保護者との事前契約の上、子どもの見守り）,,,2019/8/1,,終了時期なし,,https://tsunagu-spot.com/,合同会社まなびの木,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワークの促進施設,,,,2020-03-10,,,,その他,オフィスなどの空間,,テレワーク・デイズ登録企業,,
,,,,テレワーク,,"個人, 企業等",ワークスタイル（テレワーク含む）,,,,,,データ入力、経理、WEB制作、プログラミングなどや、在宅ワーク導入支援、企業の滞っている作業を登録しているワーカーが行います。,,,,,常時,,https://kirakiramama.jp/,株式会社ママLife,,,,,その他,,,その他,,新型コロナウイルス感染症,テレワーク,,,,2020-03-10,,,,その他,,,テレワーク・デイズ登録企業,,
,,,,コワーキングスペース,,"個人, 企業等",ワークスタイル（テレワーク含む）,,,,,,"ネクストデスクは、勉強、仕事、読書、作画などにお使いいただけるデスクワークスペースです。会員登録不要で1時間から利用可能。電源、Wi-Fi、フリードリンクなど、テレワークに必要なサービスをご用意しております。初回2時間無料キャンペーン実施中。
",,,,,,,https://next-desk.com/,Next DESK ネクストデスク,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-10,,,,その他,オフィスなどの空間,,日本テレワーク協会,,
,,,,広くて、格安な コワーキングスペース,,企業等,"ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,"東京都台東区、秋葉原7分・浅草橋4分の格安なコワーキングスペース。
ゆったりとテーブルを配置した広いWorkスペース。Wi-Fi + 電源 Free。",,,2016/11/7,,,,https://puzzle-scs.jp/akb/coworking,レンタルスペース＆カフェ　パズル浅草橋,,,,,サービス提供,,,,,新型コロナウイルス感染症,コワーキング,,,,2020-03-10,,,,その他,オフィスなどの空間,,テレワーク・デイズ登録企業,,
,,,,ビジネスチャット「WowTalk（ワウトーク）」,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関, ビジネスチャットという「コミュニケーションツール」を提供させていただくため、すべての業種でご利用いただくことができ、しいて言えば（個人ではなく）企業や団体、企業内の一部の組織というように複数人での利用であれば対象者の縛りは特にございません。","ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,"ワウテックが開発・提供する「WowTalk（ワウトーク）」は、『直感的な操作性』『導入教育いらず』『数万規模の導入実績を誇る安全性』という特徴を持つ、高いリピート率（満足度）を誇るビジネスチャットです。
働く環境を選ばない、いつ・どこにいてもスマートフォンやPCから、メッセージやスタンプ、画像ファイル、ドキュメントファイルなどのやりとりが可能。これまでに5,000社以上の利用実績を持ちます。
「トーク」「共有（タイムライン）」「無料通話」「タスク管理」という基本機能のほか、弊社が掲げるサービスコンセプト「Communication-Rebuild」のもと、「言語」「距離・時間」「個性」「温度・感情」「経験」という５つの視点から、翻訳機能、複数人ビデオ通話、予約投稿、絵文字リアクション、緊急時の一時安否確認機能などが搭載された、より快適かつスムーズな職場環境の醸成に貢献するサービスです。",,,2014/3/25,,"2020年3月25日でサービスリリースしてから丸6周年。今年で7年目に突入します。すでに利用社数は5,000社超を突破し、1社あたりのご契約アカウント数は、下は数十アカウントから、上は数十万アカウントという規模で導入いただいております。現在、2月3日から一旦3月31日まで（延長の可能性もあり）在宅勤務・テレワークをはじめようとする企業をサポート・支援する目的から特別プランをご用意しております。サービス自体は、もちろん、弊社の主軸となるサービスであり、永続的に続くものです。",,https://www.wowtalk.jp/,ワウテック株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,ビジネスチャット,,,,2020-03-10,,,,割引,,,日本テレワーク協会,,
,,,,情報の紹介、調査、研究,,"個人, 企業等, 行政機関",ワークスタイル（テレワーク含む）,,,,,,テレワークやデマンド交通等に対する研究・セミナー等を行い、地域活性化のサポートに取り組んでいます。,,,,,,,https://narachiikishisan.blog.fc2.com/,奈良地域資産研究会,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-11,,,,無料,,,テレワーク・デイズ登録企業,,
,,,,新型コロナウィルス感染拡大予防のためのテレワーク活用セミナー,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,新型コロナウイルス感染予防対策として、急遽テレワーク導入・活用をする際のステップやポイント、便利なテレワークツールや取組事例の紹介をWEBセミナーにて開催します。また、国や東京都から発表されている支援策・助成金等についてもお伝えします。,,,2020/3/2,,2020年3月から毎月開催,,https://tokyo-telework.jp/seminarevent,東京テレワーク推進センター,,,,,その他,,,その他,,新型コロナウイルス感染症,テレワーク,,,,2020-03-10,,,,無料,,,テレワーク・デイズ登録企業,,
,,,,TOKYOテレワークアプリ,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,"テレワークの導入・実践に必要な情報を入手できるほか、テレワーク推進セミナー等のお申込みやサテライトオフィス等の検索、簡易テレワーク勤怠管理など、便利な機能が盛沢山の
東京都公式スマートフォンアプリです。",,,2020/3/2,,継続提供予定,,https://tokyo-telework.jp/lp/2002app/index.html,東京テレワーク推進センター,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-10,,,,無料,,,テレワーク・デイズ登録企業,,
