法人番号,空欄,空欄,空欄,サービスの名称（最大40文字）,サブタイトル（最大40文字）,サービスの対象者,サービスの対象分野,都道府県（全国サービスの場合はチェックなし）,対象地域群,空欄,空欄,空欄,サービス概要（最大200文字）,,空欄,開始日,終了日,サービス期間に関して自由に記入してください。（最大２０文字）,空欄,詳細情報URL,企業名等,空欄,空欄,サービス対象の業種（標準産業分類）,［事業者向けサービス］支援対象事業ステージ,［事業者向けサービス］サービス分類,［事業者向けサービス］「お困りごと」,［個人向けサービス］ライフステージ,［個人向けサービス］サービス分類,［個人向けサービス］お困りごと,災害名,キーワード,空欄,空欄,空欄,情報更新日,空欄,空欄,空欄,サービス費用,サービス詳細分類,［教育用サービスの場合］教育用サービス内容,主な所属団体名,記入者の連絡先（メールアドレス）・・非公開,本情報は、業界団体などを通じて各企業が登録した情報であり、情報の内容、情報活用等により生じた一切の責任を政府は負いません。情報源を確認するなどして、利用者の判断で活用してください。
,,,,ネットワークプリント for Biz,,企業等,ワークスタイル（テレワーク含む）,,,,,,テレワーク時のプリント手段として、ＰＣやタブレット、スマートフォンから登録した文書・写真・図面をコンビニのマルチコピー機で印刷できるサービスです。 （プリント代は別途必要）,,,(開始済み),,20アカウントを２ヶ月間無償提供,,https://www.sharp-sbs.co.jp/networkprint-biz/,シャープマーケティングジャパン(株),,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,割引,,,電子情報技術産業協会（JEITA）,,
,,,,テレワーク相談,,企業等,ワークスタイル（テレワーク含む）,,,,,,NECネッツエスアイでは新型コロナウィルス感染拡大防止期間中、首都圏在住の社員の約８割がテレワークを実践しています。自社実践例を元にテレワークについてお困りの企業様のご相談を可能な限り承ります。ご相談事項はEメールにて<info-mkt@dm.nesic.com>宛にご連絡ください。,,,2020/3/11,,,,https://symphonict.nesic.co.jp/hatarakikata/,NECネッツエスアイ株式会社,,,,,その他,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-11,,,,無料,,,日本テレワーク協会,,
,,,,ウェブ会議サービス「Zoom」／無償トライアル1ヶ月,,企業等,ワークスタイル（テレワーク含む）,,,,,,1年間のZoom有償ライセンスご購入の際に、1ヶ月分無償トライアルとしてご提供します。,,,2020/3/11,,1ヶ月間無償トライアル,,https://www.nesic.co.jp/zoom/,NECネッツエスアイ株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-11,,,,割引,ビデオ会議,,日本テレワーク協会,,
,,,,ｅラーニングクラウドサービス,,"企業内教育管理者への提供、全従業員向け教育。お申込みは1企業1,000名までとなります。",ワークスタイル（テレワーク含む）,,,,,,集合形式での研修開催が困難な企業を支援するため、企業向けeラーニングクラウドサービス「Generalist/LW」を無償提供いたします。集合研修用に準備していた教育用のパワーポイント教材を当eラーニングコンテンツ（教材）として利用することが可能です。さらに新人育成や若手社員育成の教材として、すぐにご利用いただける「社会人基礎力　全4コース」も無償で提供します。社会人基礎力とは「職場や地域社会の中で多様な人々とともに仕事をする上で必要な基礎的な12の能力要素」として、経済産業省が提言したものです。導入支援は、専用のヘルプデスクサービスによりメールにて対応いたします。,,,2020/3/10,2020/6/30,3月末までのお申込みで6月末まで利用可能。,,https://www.toshiba-sol.co.jp/business/gene_lw/lw_lp.htm,東芝デジタルソリューションズ株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,企業内研修、教育／オンライン学習／テレワーク／企業利用,,,,2020-03-10,,,,無料,オンライン授業,,テレワーク・デイズ登録企業,,
,,,,GlobalMeet ウェブキャスト,,企業等,"ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,"インストール不要で簡単にウェビナーなどのオンラインイベント配信が可能な 「GlobalMeetR ウェブキャスト」が１カ?無料になるキャンペーン実施中です。
「急遽、対面のイベントが中止・延期になってこまっている」 「社内へ一斉アナウンスを行いたい」等、ぜひご相談ください。
定額制のライセンスプランと、単発のスポットプランがあります。また設定から機材までサポートするプランもあります。",,,,,3月末までの申し込み及びキャンペーン適用で1カ月無料（申込期間延長対応の可能性あり）,,https://premiere-marketing.jp/news/200220_news-release_gm_campaign.html,プレミアコンファレンシング株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,オンラインイベント,,,,2020-03-18,,,,割引,イベント支援,,テレワーク・デイズ登録企業,,
,,,,秘文 Endpoint Protection Service（ネットワーク制御単体版）,,すべて対象,ワークスタイル（テレワーク含む）,,,,,,テレワークを導入する企業に対し、安全なテレワーク業務の遂行を実現するため情報漏洩防止サービスを提供する。,,,2020/4/1,2020/6/30,特になし,,https://www.hitachi-solutions.co.jp/hibun/sp/,株式会社日立ソリューションズ,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-18,,,,無料,,,その他,,
,,,,大臣スマート打刻サービス,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,PC、タブレット、スマートフォンを使って打刻を行い、クラウド上で打刻データを管理できるサービスです。打刻データはクラウド上にアップロードされ、インターネットに接続されている環境であればどこからでも確認が可能です。,,,,,利用開始から６０日間,,http://www.ohken.co.jp/product/dsd/,応研株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-19,,,,無料,,,コンピュータソフトウェア協会,,
,,,,Basic　IPCC（インターネット無断接続防止ツール）,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,Basic IPCCは、既設のVPNと組み合わせることでWindowsPCの社外持出し時でも社内と同等のセキュリティポリシーでの運用を可能にし、安全、低コストでテレワーク環境を準備出来るテレワークセキュリティ支援ツールです。,,,2020/3/18,2020/5/31,,,https://www.basic.co.jp/basic-security/detail/ipcc.html,株式会社ベーシック,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワークセキュリティ業務支援ツール,,,,2020-03-19,,,,無料,,,テレワーク・デイズ登録企業,,
,,,,テレワークサービス導入支援,,企業等,ワークスタイル（テレワーク含む）,,,,,,"テレワーク導入を検討している中小企業に対して、導入サービスの選定や教育等、導入時のサポートを行います。
",,,2020/3/2,2020/8/31,,,https://www.ensouinc.com/,株式会社ENSOU,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-19,,,,無料,,,その他,,
,,,,code room,,"個人, 企業等, 教育機関",教育・学習支援,,,,,,"プログラミングを教えることに最適化されたツールです。
リアルタイムに共同編集できるエディターとチャットで隣で教えあっているような質問、教育環境を実現します。",,,2020/3/23,,終了時期未定,,https://code-room.io,株式会社Miraie,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,オンラインプログラミング学習支援ツール,,,,2020-03-19,,,,無料,オンライン授業,,その他,,
,,,,簡単テレビ会議システムLoopGate,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関","ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,簡単テレビ会議システム『LoopGate1002』は会議・打合せ等にご利用のほか、研修やイベント配信などにも活用され、テレワーク・在宅勤務など時間や場所にとらわれずに業務を遂行できる勤務形態を実現します。,,,2020/3/13,,,,https://loopgate.jp/information/release/3235/,ギンガシステム株式会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-19,,,,その他,ビデオ会議,,テレワーク・デイズ登録企業,,
,,,,簡単テレビ会議システムLoopGate,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関","ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,新入社員研修について、集合型式から遠隔会議型式に変更を検討している企業に、「新入社員研修のためのテレビ会議システム」の導入支援を実施いたします。,,,2020/3/16,,,,https://loopgate.jp/information/release/3251/,ギンガシステム株式会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,新入社員研修,,,,2020-03-19,,,,その他,,,テレワーク・デイズ登録企業,,
,,,,簡単テレビ会議システムLoopGate,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関","ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,中止や延期を予定されております各種会議・イベントにおいて、テレビ会議システムを一時的に利用されるお客様を支援いたします。,,,2020/3/17,,,,https://rehaplan.jp/keeprehab/,ギンガシステム株式会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-19,,,,その他,,,テレワーク・デイズ登録企業,,
,,,,Webex by BT,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関","ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,Webexをグローバルに活用を希望するお客様への特別プラン,,,2020/3/19,,開始から90日,,https://www.globalservices.bt.com/en,BTジャパン株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-19,,,,割引,ビデオ会議,,情報通信ネットワーク産業協会（CIAJ）,,
,,,,GlobalMeet コラボレーション,,企業等,"ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,テレワークやオンライン面接等に活用できる Web会議・電話会議サービス「GlobalMeetR コラボレーション」は、【誰でもすぐ簡単に使える】【安定した?声・ノイズ抑制】【選べる接続方法・料金プラン】が特徴です。1カ月無料または特別ディスカウントになるキャンペーン実施中です。全社導入などにおすすめのリーズナブルなプランもあります。お気軽にご相談ください。,,,,,申し込み期間を5月29日（金）まで延長。申し込み及びキャンペーン適用で1カ月無料または特別ディスカウント,,https://premiere-marketing.jp/news/200220_news-release_gm_campaign.html,プレミアコンファレンシング株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-31,,,,割引,ビデオ会議,,テレワーク・デイズ登録企業,,
,,,,GlobalMeet ウェブキャスト,,企業等,"ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,"インストール不要で簡単にウェビナーなどのオンラインイベント配信が可能な 「GlobalMeetR ウェブキャスト」が１カ?無料になるキャンペーン実施中です。
 「急遽、対面のイベントが中止・延期になってこまっている」 「社内へ一斉アナウンスを行いたい」等、ぜひご相談ください。
 定額制のライセンスプランと、単発のスポットプランがあります。また設定から機材までサポートするプランもあります。",,,,,申し込み期間を5月29日（金）まで延長。申し込み及びキャンペーン適用で1カ月無料,,https://premiere-marketing.jp/news/200220_news-release_gm_campaign.html,プレミアコンファレンシング株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,オンラインイベント,,,,2020-03-31,,,,割引,イベント支援,,テレワーク・デイズ登録企業,,
,,,,Buffet(ブッフェ),,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関",その他,,,,,,インフルエンサーPRから広告運用まで自動運用で一括管理できるInstagramマーケティングツール,,,2020/3/18,,申し込み締め切り：4月10日、利用開始から1ヶ月間無償提供,,https://lp.buffet-ricecurry.com/,株式会社ライスカレー製作所,,,,,サービス提供,,,,,新型コロナウイルス感染症,InstagramPRツール,,,,2020-03-18,,,,無料,コミュニケーション支援,,その他,,
,,,,秘文 Endpoint Protection Service（ネットワーク制御単体版）,,すべて対象,ワークスタイル（テレワーク含む）,,,,,,テレワークを導入する企業に対し、安全なテレワーク業務の遂行を実現するため情報漏洩防止サービスを提供する。,,,2020/4/1,2020/6/30,特になし,,https://www.hitachi-solutions.co.jp/hibun/sp/,株式会社日立ソリューションズ,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-18,,,,無料,,,その他,,
,,,,大臣スマート打刻サービス,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,PC、タブレット、スマートフォンを使って打刻を行い、クラウド上で打刻データを管理できるサービスです。打刻データはクラウド上にアップロードされ、インターネットに接続されている環境であればどこからでも確認が可能です。,,,,,利用開始から６０日間,,http://www.ohken.co.jp/product/dsd/,応研株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-19,,,,無料,,,コンピュータソフトウェア協会,,
,,,,Basic IPCC（インターネット無断接続防止ツール）,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,Basic IPCCは、既設のVPNと組み合わせることでWindowsPCの社外持出し時でも社内と同等のセキュリティポリシーでの運用を可能にし、安全、低コストでテレワーク環境を準備出来るテレワークセキュリティ支援ツールです。,,,2020/3/18,2020/5/31,,,https://www.basic.co.jp/basic-security/detail/ipcc.html,株式会社ベーシック,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワークセキュリティ業務支援ツール,,,,2020-03-19,,,,無料,,,テレワーク・デイズ登録企業,,
,,,,テレワークサービス導入支援,,企業等,ワークスタイル（テレワーク含む）,,,,,,テレワーク導入を検討している中小企業に対して、導入サービスの選定や教育等、導入時のサポートを行います。,,,2020/3/2,2020/8/31,,,https://www.ensouinc.com/,株式会社ENSOU,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-19,,,,無料,,,その他,,
,,,,code room,,"個人, 企業等, 教育機関",教育・学習支援,,,,,,"プログラミングを教えることに最適化されたツールです。
 リアルタイムに共同編集できるエディターとチャットで隣で教えあっているような質問、教育環境を実現します。",,,2020/3/23,,終了時期未定,,https://code-room.io,株式会社Miraie,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,オンラインプログラミング学習支援ツール,,,,2020-03-19,,,,無料,オンライン授業,,その他,,
,,,,簡単テレビ会議システムLoopGate,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関","ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,簡単テレビ会議システム『LoopGate1002』は会議・打合せ等にご利用のほか、研修やイベント配信などにも活用され、テレワーク・在宅勤務など時間や場所にとらわれずに業務を遂行できる勤務形態を実現します。,,,2020/3/13,,,,https://loopgate.jp/information/release/3235/,ギンガシステム株式会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-19,,,,その他,,,テレワーク・デイズ登録企業,,
,,,,簡単テレビ会議システムLoopGate,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関","ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,新入社員研修について、集合型式から遠隔会議型式に変更を検討している企業に、「新入社員研修のためのテレビ会議システム」の導入支援を実施いたします。,,,2020/3/16,,,,https://loopgate.jp/information/release/3251/,ギンガシステム株式会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,新入社員研修,,,,2020-03-19,,,,その他,,,テレワーク・デイズ登録企業,,
,,,,簡単テレビ会議システムLoopGate,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関","ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,中止や延期を予定されております各種会議・イベントにおいて、テレビ会議システムを一時的に利用されるお客様を支援いたします。,,,2020/3/17,,,,https://loopgate.jp/information/release/3265/,ギンガシステム株式会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-19,,,,その他,,,テレワーク・デイズ登録企業,,
,,,,Webex by BT,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関","ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,Webexをグローバルに活用を希望するお客様への特別プラン,,,2020/3/19,,開始から90日,,https://www.globalservices.bt.com/en,BTジャパン株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-19,,,,割引,ビデオ会議,,情報通信ネットワーク産業協会（CIAJ）,,
,,,,Adobe Creative Cloud自宅からの無償アクセス,,"個人, 教育機関",教育・学習支援,,,,,,PC教室などの共有環境のみでCreative Cloudにアクセスできる初等中等および高等教育機関にご所属の児童・生徒・学生と教職員を対象に、追加費用なしで自宅からのアクセス権を付与します。,,,2020/3/21,2020/5/31,,,https://helpx.adobe.com/jp/enterprise/kb/covid-19-education-labs.html,アドビ システムズ 株式会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,自宅学習支援,,,,2020-03-20,,,,無料,オンライン授業,,ICT CONNECT21,,
,,,,インターネットVPNアクセス,,企業等,コミュニケーション,,,,,,"PC、iPhone、iPad等のマルチデバイスからお客様社内システムへの リモートアクセス を実現するサービス『インターネットVPNアクセス』を、新規開通から最大3カ月無償でご提供いたします。
 （条件についてはURLよりご確認ください）",,,2020/3/23,2020/5/31,新規開通から最大3カ月,,https://tm.softbank.jp/telework/,ソフトバンク株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-20,,,,無料,,,電気通信事業者協会（TCA）,,
,,,,ビジネス・コンシェル デバイスマネジメント/ビジネス・コンシェルワークエコ,,企業等,"ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,"ソフトバンクが自社開発したクラウド型のMDMサービス『ビジネス・コンシェル デバイスマネジメント』と働き方支援サービス『ビジネス・コンシェル ワークエコ』の2つのサービスを、解約まで1ID 400円／月 でご提供いたします。
 （条件についてはURLよりご確認ください）",,,2020/4/1,2021/3/31,,,https://tm.softbank.jp/telework/,ソフトバンク株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-20,,,,割引,,,電気通信事業者協会（TCA）,,
,,,,Zimperium,,企業等,"ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,"AI搭載の独自の脅威検出エンジンで未知の攻撃の検知に対応可能なセキュリティサービス『Zimperium』を、新規開通から最大3カ月無償でご提供いたします。
 （条件についてはURLよりご確認ください）",,,2020/3/23,2020/5/31,新規開通から最大3カ月,,https://tm.softbank.jp/telework/,ソフトバンク株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-20,,,,無料,,,電気通信事業者協会（TCA）,,
,,,,UniTalk/O365/スマートフォン,,企業等,"ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,"ソフトバンクのスマホ利用者限定で、Microsoft Teamsと連携した様々なデバイスから発着信可能なソフトバンクの音声サービス『Unitalk』と、O365対象プランの同時申込で、スマホを含むトータル利用料を 3,950円～／月 でご提供いたします。
 （条件についてはURLよりご確認ください）",,,2020/3/4,2020/8/25,課金開始から1年間,,https://tm.softbank.jp/telework/,ソフトバンク株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-20,,,,割引,,,電気通信事業者協会（TCA）,,
,,,,G Suite,,企業等,"ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,"クラウド型グループウェア『G Suite』のご利用の方限定で、契約プランに関係なくHangouts MeetのEnterpriseプラン機能をご利用いただけます。
 （条件についてはURLよりご確認ください）",,,,2020/7/1,,,https://tm.softbank.jp/telework/,ソフトバンク株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-20,,,,無料,,,電気通信事業者協会（TCA）,,
,,,,PrimeDrive,,企業等,"ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,"ビジネスに最適な、セキュリティと利便性を両立したソフトバンクのオンラインストレージ『PrimeDeive』のトライアル環境を1カ月無償でご提供いたします。
 （条件についてはURLよりご確認ください）",,,,,1カ月,,https://tm.softbank.jp/telework/,ソフトバンク株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-17,,,,無料,,,電気通信事業者協会（TCA）,,
,,,,LINE WORKS,,企業等,"ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,"１つのアプリで、企業でも安心して使える法人向け管理機能とセキュリティを備えたビジネスチャットのクラウドサービス『LINE WORKS』のお試しFreeプランをご提供いたします。
 （条件についてはURLよりご確認ください）",,,,,,,https://tm.softbank.jp/telework/,ソフトバンク株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-20,,,,無料,,,電気通信事業者協会（TCA）,,
,,,,Zoom/スマートフォン,,企業等,"ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,"世界中で選ばれているクラウド型のWeb会議サービス『Zoom』と、モバイルを同時に申込いただいたお客様限定で、ビジネス・エンタープライズプラン（2,980円／1ライセンス／月）を2,480円／1ライセンス／月でご提供いたします。
 （条件についてはURLよりご確認ください）",,,2020/3/10,2020/6/30,,,https://tm.softbank.jp/telework/,ソフトバンク株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-20,,,,割引,ビデオ会議,,電気通信事業者協会（TCA）,,
,,,,PrimeMeeting,,企業等,"ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,"ビデオ会議/Web会議のメリットを融合したソフトバンクのクラウド型ビデオ会議サービス『PrimeMeeting』のトライアル環境を2週間無償でご提供いたします。
 （条件についてはURLよりご確認ください）",,,,,2週間,,https://tm.softbank.jp/telework/,ソフトバンク株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-20,,,,無料,ビデオ会議,,電気通信事業者協会（TCA）,,
,,,,GlobalMeet コラボレーション,,企業等,"ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,"高い音質とビデオ会議機能を備えた「定額制の電話会議」サービス『GlobalMeetコラボレーション』のトライアル環境を2週間無償でご提供いたします。
 （条件についてはURLよりご確認ください）",,,,,2週間,,https://tm.softbank.jp/telework/,ソフトバンク株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-20,,,,無料,ビデオ会議,,電気通信事業者協会（TCA）,,
,,,,CLOUD SIGN,,企業等,"ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,"契約締結から契約書管理まで可能なクラウド型の電子契約サービス『CLOUD SIGN』のお試しFreeプランをご提供いたします。
 （条件についてはURLよりご確認ください）",,,,,,,https://tm.softbank.jp/telework/,ソフトバンク株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-20,,,,無料,,,電気通信事業者協会（TCA）,,
,,,,SMART CATALOG,,企業等,"ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,"クラウドを活用した、コンテンツ制作・配信管理サービス『SMART CATALOG』のトライアル環境を最大2カ月無償でご提供いたします。
 （条件についてはURLよりご確認ください）",,,,,最大2カ月,,https://tm.softbank.jp/telework/,ソフトバンク株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-20,,,,無料,,,電気通信事業者協会（TCA）,,
,,,,MOVIE LIBRARY,,企業等,"ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,"配信も視聴も管理もカンタンにできる、クラウド型動画共有SNSプラットフォーム『MOVIE LIBRARY』のトライアル環境を最大2カ月無償でご提供いたします。
 （条件についてはURLよりご確認ください）",,,,,最大2カ月,,https://tm.softbank.jp/telework/,ソフトバンク株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-20,,,,無料,,,電気通信事業者協会（TCA）,,
,,,,Zscaler,,企業等,"ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,"SSL復号とセキュリティチェックなど多様な機能を有し、それらすべてをクラウド設備側で行うため、低遅延でセキュアなアクセス統制を実現できる『Zscaler』を、導入一時金無償、かつ基本ライセンス費6カ月無償でご提供いたします。
 （条件についてはURLよりご確認ください）",,,,2020/7/10,新規開通から最大6カ月,,https://tm.softbank.jp/telework/,ソフトバンク株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-20,,,,無料,,,電気通信事業者協会（TCA）,,
,,,,Alibaba Cloud 日本-中国間専用線,,企業等,"ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,"日本と中国の間を低遅延でセキュアな環境で結ぶクラウド型ネットワークサービス『Alibaba Cloud 日本-中国間専用線』を、新規開通から最大3カ月無償でご提供いたします。
 （条件についてはURLよりご確認ください）",,,2020/3/23,2020/5/31,新規開通から最大3カ月,,https://tm.softbank.jp/telework/,ソフトバンク株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-20,,,,無料,,,電気通信事業者協会（TCA）,,
,,,,インターネットライブ配信システム,,"企業等, 教育機関","教育・学習支援, 生活関連サービス、娯楽, コミュニケーション",,,,,,コンサートやスポーツ大会など様々なイベントの映像やハイレゾ音源をインターネットでライブ配信するためのシステム,,,2020/3/18,2020/5/31,,,https://www.iij.ad.jp/news/pressrelease/2020/0318.html,株式会社インターネットイニシアティブ,,,,,サービス提供,,,,,新型コロナウイルス感染症,オンライン中継,,,,2020-03-23,,,,無料,イベント支援,,テレコムサービス協会（テレサ協）,,
,,,,法人向けBIGLOBE SIM,,企業等,ワークスタイル（テレワーク含む）,,,,,,テレワークを導入する企業に対して、社員向けにSIMを提供する。,,,,,,,https://biz.biglobe.ne.jp/sim/index.html,ビッグローブ株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-23,,,,その他,,,テレコムサービス協会（テレサ協）,,
,,,,法人向けプリペイドSIM,,企業等,ワークスタイル（テレワーク含む）,,,,,,テレワークを導入する企業に対して、社員向けにSIMを提供する。 （今回限りの使いきりとして）,,,,,,,https://biz.biglobe.ne.jp/sim/pre-paid/index.html,ビッグローブ株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-23,,,,その他,,,テレコムサービス協会（テレサ協）,,
,,,,法人向けルータ、スマホ,,企業等,ワークスタイル（テレワーク含む）,,,,,,テレワークを導入する企業に対して、社員向けにルータ、スマホ提供する。,,,,,,,https://biz.biglobe.ne.jp/sim/device/index.html,ビッグローブ株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-23,,,,その他,,,テレコムサービス協会（テレサ協）,,
,,,,SIM対応VPNサービス,,企業等,ワークスタイル（テレワーク含む）,,,,,,テレワークを導入する企業に対して、自宅から社内ネットワークへのセキュアな環境を提供する,,,,,,,https://biz.biglobe.ne.jp/sim/vpn.html,ビッグローブ株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-23,,,,その他,,,テレコムサービス協会（テレサ協）,,
,,,,BIGLOBE クラウドストレージ,,企業等,ワークスタイル（テレワーク含む）,,,,,,テレワークを導入する企業に対して、社員同士のファイル共有をセキュアな環境で提供する,,,,,,,https://biz.biglobe.ne.jp/storage/index.html,ビッグローブ株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-23,,,,その他,,,テレコムサービス協会（テレサ協）,,
,,,,BIGLOBE リモートデスクトップ,,企業等,ワークスタイル（テレワーク含む）,,,,,,テレワークを導入する企業に対して、社内のパソコンにアクセスできる環境を提供する,,,,,,,https://biz.biglobe.ne.jp/stb/index.html,ビッグローブ株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-23,,,,その他,,,テレコムサービス協会（テレサ協）,,
,,,,MDM(OptimalBiz）,,企業等,ワークスタイル（テレワーク含む）,,,,,,テレワークを導入する企業に対して、社員向けのPC・スマホの情報漏洩対策など端末管理を提供する,,,,,,,https://biz.biglobe.ne.jp/mdm/index.html,ビッグローブ株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-23,,,,その他,,,テレコムサービス協会（テレサ協）,,
,,,,TeamViewer（チームビューワー）,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,リモート接続ツール「TeamViewer」の商用サービス。コロナ感染防止対策のための期間限定の特別価格(10～45%引き)でご提供。,,,,2020/6/30,新型コロナウイルス対策期間限定,,https://www.lac.co.jp/service/product/teamviewer.html,株式会社ラック,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-24,,,,割引,,,地方版IoT推進ラボ事務局,,
